favourites_count,friendList,friendsCount,hashtags,imageurl,lang,retweetCount,retweeted,tweetCreatedAt,tweetId,tweetText,userCreatedAt,userDescription,userFollowersCount,userID,userLocation,userName
11851,None,1044,['Juul'],http://pbs.twimg.com/profile_images/959106942768689153/H8eXRN7v_normal.jpg,en,1,False,2018-10-02 19:04:29,1047200664328265729,The FDA raided #Juul for marketing to kids and this is one of the ads. Tough call hmm https://t.co/5arNl9WPc4,2009-02-22 18:00:32,heiress. billionaire. billionairess. Newsletter Writer/Podcaster/Jane Duh @betches_sup @betchesluvthis,2704,21582877,New York,Alise Morales
285,None,719,['Juul'],http://pbs.twimg.com/profile_images/730733843469205504/456_4Vaq_normal.jpg,en,18,False,2018-10-02 18:30:10,1047192030827429888,"BREAKING: In a surprise raid, the @US_FDA seized hundreds of documents at the #Juul HQ to investigate the company's marketing tactics. On today's episode of my show, @drsanjaygupta and I discuss this epidemic and what you need to know to protect your kids. https://t.co/dg3Y8clgRg",2009-05-09 11:27:19,"SVP for @ewg, views are mine",908,38838127,DC,Scott Faber
14571,None,157,['JUUL'],http://pbs.twimg.com/profile_images/1021390302580486144/58jZCv_X_normal.jpg,en,2,False,2018-10-03 04:16:11,1047339505810923520,"If they ban the #JUUL on college campuses then people will just be smoking cigarettes again, and idk about y'all but I'd rather get a puff of mango in my face than a cloud of Marlboro Red 🤷",2017-02-08 20:28:44,AU ➡️KSU | Lifeguard | Skyline Chili Manager 🍝 |  ΤΚΕ π-α/ι-π | 7-24-17 ❤️💍,90,829426760915763205,"Kent, OH",Joshua 🐧
668,None,371,"['SwitchToJUUL', 'JUUL']",http://pbs.twimg.com/profile_images/590395947990929408/UwjBNF2R_normal.jpg,en,1,False,2018-10-01 21:05:25,1046868713813696517,We asked Nora why she made the #SwitchToJUUL and this is what she shared with us. View more testimonials from #JUUL customers at https://t.co/bzgcuzwuIv  and share your story with us. https://t.co/vOiZ24EXek,2014-12-03 23:28:22,"At JUUL, our mission is to improve the lives of the world’s one billion adult smokers. +21+ DM for Twitter Customer Service 8am-5:30pm PT M-F. #SwitchToJUUL",19706,2918018660,San Francisco,JUUL
4,None,915,"['vaping', 'juul']",http://pbs.twimg.com/profile_images/581147772285509633/AP8TSrmx_normal.png,en,2,False,2018-10-02 22:37:35,1047254295329087489,FDA Held Surprise Inspection of Juul’s Headquarters  Many documents seized.  #vaping #juul  https://t.co/mgQH30AW6g,2015-03-26 17:32:16,We Tweet & RT the best brands and people amongst the #VapeCommunity - Include #CloudChasing for a RT every time! Remember guys #VapeON,3330,3119313208,UK,@CloudChasingUK
1842,None,118,"['juul', 'funny', 'buzzfeed']",http://pbs.twimg.com/profile_images/751967354918141952/-G4vvikl_normal.jpg,en,1,False,2018-10-02 00:17:16,1046916994006700032,Please view this funny post for my marketing class! https://t.co/xMeShJ89ts.   #juul #funny #buzzfeed,2009-08-04 06:49:13,Wavy 🌊,152,62741556,In the Lab,K J
11,None,259,"['FDA', 'Juul']",http://pbs.twimg.com/profile_images/917886684649357312/aivZ5Pfc_normal.jpg,en,0,False,2018-10-02 18:36:42,1047193675434999808,"(TechCrunch) #FDA seizes thousands of documents from e-cig startup #Juul : E-cigarette maker Juul recently received a surprise visit from the Food and Drug Administration, CNBC first reported. Last week, the FDA seized thousands .. https://t.co/R2Jhff6aiJ https://t.co/ISIBMPeGxC",2015-11-26 21:38:57,"https://t.co/M3K6zKhn8Y is a news aggregator, it gathers news from different sources, and continuously monitor breaking news from multiple news websites.",1069,4289485636,,StoriesFlow.com
1,None,412,"['juul', 'vapor', 'ejuice', 'kratom', 'shisha', 'hookah', 'backwoods', 'tobaccopipe', 'cigarette', 'cigar', 'hypnoticsmokeshop', 'hypnoticheadshop']",http://pbs.twimg.com/profile_images/974878238097969153/3k4vCB3L_normal.jpg,en,0,False,2018-10-02 17:25:25,1047175734966534144,SMOK E-PRIC KIT  in stock @hypnoticsmokes1  #juul #vapor #ejuice #kratom #shisha #hookah #backwoods #tobaccopipe #cigarette #cigar #hypnoticsmokeshop #hypnoticheadshop 🔥🔥🔥BEST PRICES IN… https://t.co/611afe8pMm,2018-03-17 05:19:24,Vapors/ e-juice/ cigerattes/ hookahs/ tobacco water pipes/ cigars. your one stop for all your smoking needs. best prices in the town.,16,974877843032346626,"629 broadway st,cape girardeau",hypnotic smokeshop
8844,None,100,"['free', 'favorite', 'cbd', 'hemp', 'vape', 'juul']",http://pbs.twimg.com/profile_images/1018591819385356288/IzFq0gyy_normal.jpg,en,2,False,2018-10-03 01:44:30,1047301332783300608,"For a limited time only buy 1 get 1 #free on our new customer #favorite Zilla Pods! These #cbd #hemp Pre-Filled #vape pods are compatible with the #juul and come in three delicious flavors, Natural Hemp, Berry Wild Gelato, and Strawberry Creme Gelato! https://t.co/tEtA1opyX5 https://t.co/r3ZYUTsAUr",2017-10-27 01:11:29,"Just a Texas girl living in a North Carolina world, dealing with #PCOS #Anxiety and #Infertility while hoping to raise the money for #IVF",303,923718761718386693,"Asheville, NC",Southern Spoonie
493,None,34,"['vapebreak', 'vapelyfe', 'hitthischief', 'juul', 'vape']",http://pbs.twimg.com/profile_images/1045184839953993730/pPxTsr4e_normal.jpg,en,0,False,2018-10-02 17:49:51,1047181885502181376,Took this photo of the night sky with my Nikon D5300.  Accidentally blew my vape in front of the lens during the exposure. The blue light on my nest reflected off the cloud and caused the purple effect in the shot.   #vapebreak #vapelyfe #hitthischief #juul #vape @h3h3productions https://t.co/yXGXheoAI2,2018-08-31 01:50:45,Devout follower of Bootsy’s basic funk formula.,16,1035344105486737408,I migrate. ,Bird is the Word
0,None,170,"['FDA', 'Juul']",http://pbs.twimg.com/profile_images/471169179966402560/rBYpZOVs_normal.png,en,0,False,2018-10-02 16:42:04,1047164824008847361,#FDA seizes thousands of documents from e-cig startup #Juul https://t.co/MYKNg8WGuX,2014-04-29 11:55:32,,257,2469191839,,ISTManager
185,None,98,"['Stoptober', 'juul', 'quitsmoking', 'october', 'stoptober', 'london', 'vapourcore', 'vape']",http://pbs.twimg.com/profile_images/900694020736905216/2KROL5DJ_normal.jpg,en,4,False,2018-10-02 12:17:57,1047098360203812865,"JUUL Starter Kit, including device and pods, for only £19.99 (was £29.99) in #Stoptober! Available in all our stores:: https://t.co/5SV8Fuo0JZ  Vapourcore JUUL Store now open in Holland Park!  #juul #quitsmoking #october #stoptober #london #vapourcore #vape https://t.co/igbRyu8xtX",2017-08-24 12:17:02,"Vapourcore vape shop. 161 - 162 Dukes Road, W3 0SL. Open Monday to Friday, 10am - 6pm. Come visit us to find your favourite vape kit or e-liquid!",60,900693428731875328,"London, England",Vapourcore Park Royal
32503,None,4988,"['JUUL', 'JUULLeaking']",http://pbs.twimg.com/profile_images/1028447755059044352/mrzcyorz_normal.jpg,en,0,False,2018-10-01 19:48:24,1046849330970333190,@JUULvapor @johnwdunphy The answer appears to wipe off your product with tissue paper to mask the manufacturing quality issues not yet addressed.  Is this the official #JUUL position on #JUULLeaking https://t.co/qAufrNoa4u,2017-05-19 19:18:04,"I've never seen a more graphic, compelling illustration of a crime scene that was fabricated. Kathleen Zellner @ZellnerLaw The NY Times 8-18-2016 #Zellnami",1015,865647762481623041,United States,Zellner  Chess
667,None,9221,"['FDA', 'Juul']",http://pbs.twimg.com/profile_images/769531755145592833/j5vlLiqU_normal.jpg,en,4,False,2018-10-02 21:17:32,1047234151206866945,#FDA seizes thousands of documents from e-cig startup #Juul https://t.co/TqqYKetTjU https://t.co/10izrNR8vZ,2015-07-18 20:14:32,"Ex-game ranger, who learnt that mostly you must stand your ground, but sometimes you need to RUN!! @ColorSTREAMedia Mickey@bet635sport.net",8447,3382138047,"Centurion, South Africa",The Hippo Shoe
12454,None,678,"['Juul', 'BigTobacco']",http://pbs.twimg.com/profile_images/1041851721499258880/aQVAqVav_normal.jpg,en,0,False,2018-10-02 21:44:06,1047240835652374529,By seizing papers from Juul the FDA is informally welcoming them to become part of Big Tobacco. #Juul #BigTobacco  https://t.co/tElIPWbJa6,2009-07-04 18:27:38,"Blogger. Fan of justice and equality. Carefully & critically observing Winston-Salem, NC. #wspol #wsnc #wssu",832,53729265,winston-salem nc,Winston Watchman
4120,None,1165,"['FDA', 'ecigarette', 'Juul']",http://pbs.twimg.com/profile_images/2459659909/br7k66imakbbd3xfp14z_normal.jpeg,en,0,False,2018-10-02 19:36:59,1047208844978532353,"The #FDA seized more than 1,000 pages of documents in a surprise inspection of #ecigarette maker #Juul Labs last week, an FDA spokesperson told Healio, who also said the paperwork was linked to Juul’s marketing and sales practices. https://t.co/r0qsak0BpU @US_FDA @SGottliebFDA",2012-01-30 17:23:35,General knowledge has its place. Specialty experience lives here.,3057,478786305,"Thorofare, NJ",Healio.com
0,None,2,"['US', 'Juul', 'USA', 'MNA']",http://pbs.twimg.com/profile_images/1034570249050435589/eL4t_RXv_normal.jpg,en,0,False,2018-10-03 00:50:00,1047287617505570816,"The #US Food and Drug Administration said on Tuesday it seized more than a thousand pages of documents from #Juul Labs related to the company’s sales and marketing practices after a surprise inspection, the latest clamp down on e-cigarette companies.  #USA #MNA https://t.co/1jJuLOeIZp",2018-08-09 13:38:47,⭕️ Media News Agency ⭕️ License Number : 157 ⭕️ info@mna.news ⭕️ Arabic @mna ⭕️ Instagram: mnanews ⭕️ whats App : 00965 94077900,888,1027549756661358593,Kuwait,M N A
59,None,1016,"['Juul', 'FDA', 'SlashGear']",http://pbs.twimg.com/profile_images/952584895536168961/X55uNBaD_normal.jpg,en,0,False,2018-10-02 23:39:21,1047269840015302656,#Juul marketing materials seized as #FDA targets underage vaping #SlashGear https://t.co/bYHp9Czw6S @slashgear https://t.co/hsEVycvwux,2009-03-13 16:35:05,"Architect / Developer / MarTech /  Entrepreneur, marketing technology innovator, patent-holder and pioneer in the social listening space. #CMO #blockchain",1638,24200759,Washington D.C.,Darren Culbreath
578,None,388,"['Stoptober', 'juul', 'quitsmoking', 'october', 'stoptober', 'london', 'vapourcore', 'vape']",http://pbs.twimg.com/profile_images/869518887959875584/bqWkOUUj_normal.jpg,en,4,False,2018-10-02 12:18:05,1047098393569480706,"JUUL Starter Kit, including device and pods, for only £19.99 (was £29.99) in #Stoptober! Available in all our stores:: https://t.co/5SV8Fuo0JZ  Vapourcore JUUL Store now open in Holland Park!  #juul #quitsmoking #october #stoptober #london #vapourcore #vape https://t.co/igbRyu8xtX",2017-05-30 11:33:55,"35 Willesden High Road NW10 2TE. 7 days a week: Monday - Friday 9am-8pm, Saturday 10am-7pm, Sunday 11am-4pm. We sell e-liquids and vape hardware.",309,869517221281878016,35 Willesden High Road NW10,Vapourcore Willesden
944,None,77,['Juul'],http://pbs.twimg.com/profile_images/518460989172641792/zqnkApBZ_normal.jpeg,en,18,False,2018-10-02 18:54:03,1047198042544394240,"BREAKING: In a surprise raid, the @US_FDA seized hundreds of documents at the #Juul HQ to investigate the company's marketing tactics. On today's episode of my show, @drsanjaygupta and I discuss this epidemic and what you need to know to protect your kids. https://t.co/dg3Y8clgRg",2011-04-03 09:17:26,,44,276413045,Venezuela,Norma
328,None,71,"['vaping', 'juul']",http://pbs.twimg.com/profile_images/972399243972366336/9X3uH-Um_normal.jpg,en,2,False,2018-10-02 22:26:22,1047251472495206400,FDA Held Surprise Inspection of Juul’s Headquarters  Many documents seized.  #vaping #juul  https://t.co/mgQH30AW6g,2017-02-17 07:31:59,"Liberal, #American #attorney, now living in #BC, #Canada, at least until 2020.  Interests: #Politics, #journalism, #WallStreet, #law, and #travel.",7,832492776365252608,"Victoria, British Columbia",Robert  S Blacher
5578,None,814,"['Giveaway', 'vape', 'vapegiveaway', 'juul']",http://pbs.twimg.com/profile_images/789970016749903872/nMYztcyK_normal.jpg,en,0,False,2018-10-01 13:17:58,1046751075427123200,@Juul Starter Kit #Giveaway! #vape #vapegiveaway #juul https://t.co/DQS0heMAT6,2016-10-22 23:17:07,"Pansexual Atheist, Democratic Socialist, Vocal Iconoclast 🌹",92,789968856450301952,United States,Mstr
123,None,288,['Juul'],http://pbs.twimg.com/profile_images/1039972664763449346/fOdwzt4P_normal.jpg,en,18,False,2018-10-02 18:25:56,1047190966099214336,"BREAKING: In a surprise raid, the @US_FDA seized hundreds of documents at the #Juul HQ to investigate the company's marketing tactics. On today's episode of my show, @drsanjaygupta and I discuss this epidemic and what you need to know to protect your kids. https://t.co/dg3Y8clgRg",2009-05-07 22:20:44,Cardiac Surgeon and Host of The Dr. Oz Show,4197913,38531995,"New York, NY",Dr. Mehmet Oz
55069,None,2400,['Juul'],http://pbs.twimg.com/profile_images/1027180415474442240/n-A2Xa8I_normal.jpg,en,18,False,2018-10-02 18:28:09,1047191521911611392,"BREAKING: In a surprise raid, the @US_FDA seized hundreds of documents at the #Juul HQ to investigate the company's marketing tactics. On today's episode of my show, @drsanjaygupta and I discuss this epidemic and what you need to know to protect your kids. https://t.co/dg3Y8clgRg",2018-06-21 16:02:25,,961,1009828896899043329,"Maryland, USA ",Lealarissa
1,None,26,['Juul'],http://pbs.twimg.com/profile_images/529473294638936064/7vEf2lsC_normal.jpeg,en,0,False,2018-10-02 18:28:55,1047191715650711557,"BREAKING: In a surprise raid, the US_FDA seized hundreds of documents at the #Juul HQ to investigate the company's marketing tactics. On today's episode of my show, drsanjaygupta and I discuss this epidemic and what you need to know to protect your kids.… https://t.co/0kfGcRfa3c",2014-10-30 16:37:38,Hogom Reviews Best Products Reviews  Hogom Reviews Best Products Reviews,472,2851618727,USA,Diet and Weight Loss
218,None,321,['Juul'],http://pbs.twimg.com/profile_images/1002509027/2ee3d6b0-f7dd-4709-aaaf-5ed00624e675_normal.png,en,18,False,2018-10-02 19:16:12,1047203615973113856,"BREAKING: In a surprise raid, the @US_FDA seized hundreds of documents at the #Juul HQ to investigate the company's marketing tactics. On today's episode of my show, @drsanjaygupta and I discuss this epidemic and what you need to know to protect your kids. https://t.co/dg3Y8clgRg",2009-03-03 04:22:19,"Mom, lover of music, movies & adventures, Android, Diabetic TII, network & meet new people, Take a chance otherwise someone will take it for you.",453,22584402,"Orange County, CA, USA ",D
0,None,1,"['juul', 'oldrow', 'fgculibrarywifisucks']",http://pbs.twimg.com/profile_images/1044346222453174273/7xHn2Q2y_normal.jpg,en,0,False,2018-10-02 19:24:19,1047205659110981632,Share the love homie #juul #oldrow #fgculibrarywifisucks @ FGCU Library https://t.co/Y1GixO2WQp,2018-09-24 21:59:53,Official Old Row for Florida Gulf Coast University | Instagram @Oldrow_FGCU | DM all submissions (18+) | Not Affiliated with FGCU,1,1044345702325911552,,Old Row FGCU
879,None,61,"['juul', 'HowToMakeJuulCharger101Bitches']",http://pbs.twimg.com/profile_images/978244543047962625/PFOhjVGB_normal.jpg,en,1,False,2018-10-02 11:35:10,1047087590506188800,So I'm at a hotel and forgot my @JUULvapor charger #juul #HowToMakeJuulCharger101Bitches https://t.co/8Al9Z7glMd,2015-10-02 03:41:30,🐜🥀 stay cozy...,40,3839517736,"Dallas, TX",Cristian Duran
213,None,440,"['vaping', 'juul']",http://pbs.twimg.com/profile_images/721172965010706432/P-OW-ViD_normal.jpg,en,2,False,2018-10-02 23:24:28,1047266092350156800,FDA Held Surprise Inspection of Juul’s Headquarters  Many documents seized.  #vaping #juul  https://t.co/mgQH30AW6g,2016-04-14 05:21:38,"Vaping reviews, information, and giveaways. #vaping #vape #ecig #ecigs",1774,720482121807224832,,Casual Vaping
42,None,81,"['FDA', 'Juul']",http://pbs.twimg.com/profile_images/900086217869537281/Xr1t8uEF_normal.jpg,en,0,False,2018-10-02 16:42:05,1047164830287781888,#FDA seizes thousands of documents from e-cig startup #Juul https://t.co/ogC2EcV0xv,2012-07-07 04:39:58,My #tech account where I will post stuff dealing with tech only #android #google #lifehacker #networking  using #dlvrit,1920,629084145,,GeekinfoNow
23,None,295,['Juul'],http://pbs.twimg.com/profile_images/553198499538276356/AZvmGWvA_normal.jpeg,en,0,False,2018-10-02 16:10:00,1047156756680462337,".@CDCgov says sales of #Juul, an e-cigarette resembling a USB flash drive, grew more than sevenfold from 2016 to 2017. Other recent research suggests young Juul users had levels of nicotine in their urine higher than those from combustible cigarettes: https://t.co/pr9ymeLEXU https://t.co/mHpFAqNCxZ",2015-01-07 20:06:09,"Family Medicine news and meeting coverage powered by SLACK Incorporated, a leading publisher of medical specialty newspapers, journals and books.",301,2966591099,"Thorofare, NJ",Healio Family Med
50,None,13,"['SwitchToJUUL', 'JUUL']",http://pbs.twimg.com/profile_images/1042244395016306688/tlFPrLpC_normal.jpg,en,1,False,2018-10-02 18:42:33,1047195147639955459,We asked Nora why she made the #SwitchToJUUL and this is what she shared with us. View more testimonials from #JUUL customers at https://t.co/bzgcuzwuIv  and share your story with us. https://t.co/vOiZ24EXek,2018-09-19 02:47:34,,1167,1042243772598431744,,JUUL_Refuel
1533,None,2410,"['Juul', 'parenting']",http://pbs.twimg.com/profile_images/3565692680/80d293bed1fb58d93fa911e83ea8ed96_normal.png,en,0,False,2018-10-02 19:19:00,1047204318171095043,&gt;@US_FDA raids #Juul HQ seizing thousands of documents to probe company's marketing tactics aimed at teens - on the same day that report revealed teen e-cig use drove up the sales by 700% last year #parenting https://t.co/7Z16LWm9js,2008-12-04 00:00:21,"Psychologist. Best selling author. Go-to media expert. Sharing empowering advice on relationships, parenting + families.",65249,17853673,Charlotte,Dr. Leah Klungness
23,None,295,"['FDA', 'ecigarette', 'Juul']",http://pbs.twimg.com/profile_images/553198499538276356/AZvmGWvA_normal.jpeg,en,0,False,2018-10-02 19:36:26,1047208707048837121,"The #FDA seized more than 1,000 pages of documents in a surprise inspection of #ecigarette maker #Juul Labs last week, an FDA spokesperson told Healio, who also said the paperwork was connected to Juul’s marketing and sales practices. https://t.co/DrH18rHVo4 @US_FDA @SGottliebFDA",2015-01-07 20:06:09,"Family Medicine news and meeting coverage powered by SLACK Incorporated, a leading publisher of medical specialty newspapers, journals and books.",301,2966591099,"Thorofare, NJ",Healio Family Med
2737,None,401,['Juul'],http://pbs.twimg.com/profile_images/639585769187876864/3b-Nhwrt_normal.jpg,en,18,False,2018-10-02 22:14:04,1047248376205590530,"BREAKING: In a surprise raid, the @US_FDA seized hundreds of documents at the #Juul HQ to investigate the company's marketing tactics. On today's episode of my show, @drsanjaygupta and I discuss this epidemic and what you need to know to protect your kids. https://t.co/dg3Y8clgRg",2012-11-03 18:44:01,,103,923806489,,Michelle Marquez
2179,None,1078,"['FDA', 'Juul', 'ecigs']",http://pbs.twimg.com/profile_images/969603873445949441/UaRYydSZ_normal.jpg,en,1,False,2018-10-02 19:03:12,1047200344156061699,#FDA seizes documents from #Juul in latest e-cigarette crackdown | Reuters https://t.co/95C6jzZ0Eg #ecigs,2011-10-14 23:57:11,"Health and pharma Editor-in-Charge @Reuters. Coffee lover. LFC fan. No bacon no party. Views, links, RTs are mine, all mine.",581,391053025,Bangalore,Ankur Banerjee
15251,None,25627,"['FDA', 'Juul']",http://pbs.twimg.com/profile_images/568758492274515968/5AcC5Du6_normal.jpeg,en,1,False,2018-10-02 16:49:10,1047166612191756288,#FDA seizes thousands of documents from e-cig startup #Juul https://t.co/s69p0B6OTB https://t.co/dTywVNoAMd,2012-11-27 19:28:55,Children's Bedroom & Nursery Accessories https://t.co/yNCAJAT2CG https://t.co/4LzbZ7ERqt #SBS Winner @theopaphitis  #WOW winner @jacqueline_gold,26465,974534389,United Kingdom,Little Ragamuffin
668,None,371,['JUUL'],http://pbs.twimg.com/profile_images/590395947990929408/UwjBNF2R_normal.jpg,en,0,False,2018-10-01 23:00:19,1046897629676941312,What customers say about #JUUL. Learn more: https://t.co/bzgcuzeTQX https://t.co/Rp64wwlGwX,2014-12-03 23:28:22,"At JUUL, our mission is to improve the lives of the world’s one billion adult smokers. +21+ DM for Twitter Customer Service 8am-5:30pm PT M-F. #SwitchToJUUL",19706,2918018660,San Francisco,JUUL
188,None,44,"['Stoptober', 'juul', 'quitsmoking', 'october', 'stoptober', 'london', 'vapourcore', 'vape']",http://pbs.twimg.com/profile_images/869506873602527233/qGE-nBNm_normal.jpg,en,4,False,2018-10-02 12:17:55,1047098352003878916,"JUUL Starter Kit, including device and pods, for only £19.99 (was £29.99) in #Stoptober! Available in all our stores:: https://t.co/5SV8Fuo0JZ  Vapourcore JUUL Store now open in Holland Park!  #juul #quitsmoking #october #stoptober #london #vapourcore #vape https://t.co/igbRyu8xtX",2017-04-05 09:27:24,"274 Brompton Road SW5 9HR Opening times: Monday to Friday 8am-8pm, Saturday 10am-7pm, Sunday 11am-4pm. Come and visit us for e-liquids and vape hardware!",80,849554049695444992,"London, England",Vapourcore Earls Court
