,tweetId,userID,tweetText,parentID,favourites_count,userLocation,userName,userDescription,userCreatedAt,imageurl,userFollowersCount,friendsCount,friendList,retweetCount,retweeted,lang
10,1046610185236635648,4163841555,Lamp • • -Give me a follow if u want... • • TAGS #memes #offensivememes #dankmemes #lolmemes #lmaomemes #dailymemes… https://t.co/HDySuZt6iU,None,0,"New York, USA",9/11 Inside Job,"The September 11 attacks were a series of four coordinated terrorist attacks by the US government  on the United States on the morning of Tuesday, Sept 11, 2001",2015-11-11 12:56:44,http://pbs.twimg.com/profile_images/869476021623554048/ey8bE7Ee_normal.jpg,218,21,None,0,False,en
11,1046534631615590401,3119313208,"RT @VaporSaloon: You would think a gutter wouldn't be a good setting ~ 🤷‍♂️
#gutted #ijoy #vape #vaper #vapes #mod #mods #boxmods #new #eci…",None,4,UK,@CloudChasingUK,We Tweet & RT the best brands and people amongst the #VapeCommunity - Include #CloudChasing for a RT every time! Remember guys #VapeON,2015-03-26 17:32:16,http://pbs.twimg.com/profile_images/581147772285509633/AP8TSrmx_normal.png,3310,916,None,2,False,en
12,1046408228828049408,923718761718386693,RT @SouthernSpoonie: Have you checked out the new and improved Zilla CBD #Vape #Pods? These #CBD #hemp Pre-Filled pods are compatible with…,None,8725,"Asheville, NC",Southern Spoonie,"Just a Texas girl living in a North Carolina world, dealing with #PCOS #Anxiety and #Infertility while hoping to raise the money for #IVF",2017-10-27 01:11:29,http://pbs.twimg.com/profile_images/1018591819385356288/IzFq0gyy_normal.jpg,293,119,None,4,False,en
13,1046610202940694529,4163841555,Yeet • • -Give me a follow if u want... - @licky.y • • TAGS #memes #offensivememes #dankmemes #lolmemes #lmaomemes… https://t.co/OloLsclEVl,None,0,"New York, USA",9/11 Inside Job,"The September 11 attacks were a series of four coordinated terrorist attacks by the US government  on the United States on the morning of Tuesday, Sept 11, 2001",2015-11-11 12:56:44,http://pbs.twimg.com/profile_images/869476021623554048/ey8bE7Ee_normal.jpg,218,21,None,0,False,en
14,1046559641247916033,329519196,"I wonder why #Juul never made a Juul2 or anything like Phix made the Phix Plus, it's fully backwards compatible and… https://t.co/OZ1V25VnO6",None,896,Chicagoland Speedway,✝✞ Michael ✞✝,Nascar and Professional Wrestling diehard. Basically a wannabe redneck.,2011-07-05 06:29:11,http://pbs.twimg.com/profile_images/1012736205409177601/a4ICnmKe_normal.jpg,138,489,None,0,False,en
15,1046406695386271744,68967864,Vaping in Schools: Looks like the Detroit Free Press @freep is on the case. It's exploded since 2016 and now #Juul… https://t.co/rmGcRYxAFv,None,2554,"Halifax, Nova Scotia",Paul W Bennett,"Education commentator, consultant and author.  Specialist in decoding edubabble.",2009-08-26 12:44:51,http://pbs.twimg.com/profile_images/882634164838838273/0hmhE396_normal.jpg,3493,2068,None,3,False,en
16,1046491163283345408,2852391947,Juul - Quit Smoking Now - This Will Do It All - Nic Strength - Throat Hit - Convenience - Simplicity #juul… https://t.co/3VwYHOt4sS,None,65,"Granada Hills, CA",ArkSmokeShop.com,Get What You Need! From A Trusted Source In The Industry We Got You On Vape Juice Nic Salts Dab Rigs Accessories Waterpipes Vape Gear And Dab Pens Herb Pens,2014-10-30 22:43:36,http://pbs.twimg.com/profile_images/1022534333821739009/SzOnjB72_normal.jpg,155,1,None,0,False,en
17,1046416633194041344,44686962,RT @Educhatter: Vaping in Schools: Looks like the Detroit Free Press @freep is on the case. It's exploded since 2016 and now #Juul is more…,None,1934,"Halifax, Nova Scotia, Canada",Dr. Stan Kutcher,Sun Life Financial Chair in Adolescent Mental Health | @Tmentalhealth | Creating best available #evidencebased mental health literacy resources | #getliterate,2009-06-04 18:49:30,http://pbs.twimg.com/profile_images/1313875973/stan_normal.png,6183,1637,None,3,False,en
18,1046430908247683073,2964412215,Empty #juul cartridges are the 21st century cigarette butts https://t.co/aCIyFjxWuh,None,6607,"the triangle, nc","josh, king of the hipsters",of house russell. last of his name. the unamused. jack of all trades. master of none. breaker of norms. father of the one true moustache.,2015-01-06 16:21:07,http://pbs.twimg.com/profile_images/1022664878849503232/4p2xMFhS_normal.jpg,104,574,None,0,False,en
19,1046533376214208514,2156012966,"RT @VaporSaloon: You would think a gutter wouldn't be a good setting ~ 🤷‍♂️
#gutted #ijoy #vape #vaper #vapes #mod #mods #boxmods #new #eci…",None,696,"Budapest, Magyarország",Ecigitesztek,"Active vaper who loves mods, RDAs and big clouds. Staring at muscle cars in his freetime and tries to satisfy his endless gadget obsession.",2013-10-26 02:50:46,http://pbs.twimg.com/profile_images/846738226710765568/2dqjpuW8_normal.jpg,2762,102,None,2,False,en
20,1046521267430535168,1046375297619308544,QuickJuul and Juul is set to rocket into the UK vape and e-cigarette market#TheUk #markets #vape #market #set… https://t.co/PiAZQujRVF,None,8,"England, United Kingdom",QuickJuul.com,https://t.co/oULtdKzQI5 We aim to deliver fast and hold vast stock unlike other companies who say they have JUUL and they don't! We can deliver next day.,2018-09-30 12:24:46,http://pbs.twimg.com/profile_images/1046383425253515264/WbrQtXKK_normal.jpg,0,11,None,0,False,en
21,1046581472877072384,1018628380135223298,How long can you go without JUULing #juul #juulgang,None,599,United States,THORBOYS,"⚡️i am creating a #thorboys army ⚡️ (18+ due to cock humor) yes, I’m good looking. some would call me a “snack” – baker mayfield has the biggest dick in the nfl",2018-07-15 22:48:25,http://pbs.twimg.com/profile_images/1025560855881113604/mMXo6JdY_normal.jpg,289,4970,None,0,False,en
22,1046555988801646593,2282983818,Fished wee device the size of a USB Bluetooth dongle out of a dumpster. Recognized the charging contacts &amp; thot it… https://t.co/eL0qeouUSX,None,6234,"Vancouver, B.C. Canada",Stanley Q Woodvine,"Currently homeless. Formerly not. Used to draw pictures & stuff for a living, now I collect refundable containers -- weird huh? email:sqwabb@gmail.com",2014-01-09 03:34:40,http://pbs.twimg.com/profile_images/651628755836796928/WZ9Gjhle_normal.jpg,1553,75,None,0,False,en
23,1046416858503614464,148174074,Someone left their #juul in my vehicle #uber #Tuscaloosa #Alabama I know their having a #Day #found,None,477,"B'ham, AL",V-Secret,"Who I am, is america's best kept secret",2010-05-26 01:30:06,http://pbs.twimg.com/profile_images/991139561643405318/-1-InjUP_normal.jpg,743,1027,None,0,False,en
24,1046399093210263553,68967864,Vaping in Schools: Looks like the Detroit Free Press @freep is on the case. It's exploded since 2016 and now #Juul… https://t.co/sMbQoPEuUj,None,2554,"Halifax, Nova Scotia",Paul W Bennett,"Education commentator, consultant and author.  Specialist in decoding edubabble.",2009-08-26 12:44:51,http://pbs.twimg.com/profile_images/882634164838838273/0hmhE396_normal.jpg,3493,2068,None,1,False,en
25,1046361213859500032,530849633,I wish it mad the sound when he breaks it but anyway good enough nonsense.mp4                     #fortnite #pubg… https://t.co/awA4dZQ4Wr,None,942,,Big D,give a fuck what a bitch nigga say,2012-03-20 02:37:48,http://pbs.twimg.com/profile_images/1046573457176051712/5fzQk2U__normal.jpg,89,199,None,0,False,en
26,1046528688559411200,1858345578,"You would think a gutter wouldn't be a good setting ~ 🤷‍♂️
#gutted #ijoy #vape #vaper #vapes #mod #mods #boxmods… https://t.co/yVIOAUuOnl",None,66,"Greenville, TX",Vapor-Saloon,"-------Established Apr. 2013-------Address: 6305 Wesley St. Ste 101 Greenville, TX 75402 E-juice, Latest Mods, Starters, & Accessories. Call us at: 903-441-4079",2013-09-12 19:47:49,http://pbs.twimg.com/profile_images/1043246995295498240/JGEidNLD_normal.jpg,82,55,None,2,False,en
